round,teams,date_time,result
'3','ABC x Ceará','2023-04-30T18:00','1 x 2'
'3','Vila Nova x Juventude','2023-04-30T18:15','1 x 0'
'2','Atlético-GO x CRB','2023-04-21T16:30','2 x 1'
'2','Botafogo-SP x Sampaio Corrêa','2023-04-21T19:00','1 x 0'
'2','Ponte Preta x Criciúma','2023-04-21T21:30','1 x 2'
'2','Tombense x Ituano','2023-04-22T11:00','3 x 0'
'2','Avaí x Mirassol','2023-04-22T16:00','1 x 0'
'2','Novorizontino x Juventude','2023-04-22T17:00','1 x 0'
'2','Ceará x Guarani','2023-04-22T18:15','0 x 3'
'2','Chapecoense x Londrina','2023-04-23T15:30','3 x 0'
'2','ABC x Vitória','2023-04-23T18:00','0 x 3'
'2','Sport x Vila Nova','2023-06-18T18:00','1 x 0'
'1','Guarani x Avaí','2023-04-14T19:00','4 x 1'
'1','Ituano x Ceará','2023-04-14T21:30','2 x 0'
'1','Vila Nova x Novorizontino','2023-04-15T16:00','2 x 1'
'1','Mirassol x Chapecoense','2023-04-15T17:00','1 x 0'
'1','Sampaio Corrêa x Atlético-GO','2023-04-15T17:00','3 x 3'
'1','Juventude x Botafogo-SP','2023-04-15T18:15','1 x 2'
'1','Criciúma x Tombense','2023-04-16T11:00','2 x 0'
'1','Londrina x ABC','2023-04-16T15:30','1 x 0'
'1','Vitória x Ponte Preta','2023-04-16T18:00','3 x 0'
'1','CRB x Sport','2023-07-05T19:00','2 x 0'
